Ad_index,Moderator_ID
0,1733128229522434.0
1,2097663.0
2,1722268364673026.0
4,1772483946030082.0
5,1686669704112129.0
6,1694737747315714.0
7,1707735160255489.0
8,7767295.0
9,1739663.0
10,1746474759433249.0
11,5858713.0
12,1755541489127426.0
13,1686669003006977.0
14,6353600.0
15,1714878888865794.0
16,1737385931936769.0
17,6251180.0
18,3376191.0
19,9256168.0
20,6331886.0
21,1685047356014593.0
22,9879733.0
23,1695601116227585.0
24,1732422617628673.0
25,2157571.0
26,1724470451737666.0
27,5563535.0
28,6992269.0
29,1915657.0
30,1690120188411906.0
31,5916755.0
32,1700717203544066.0
33,9659971.0
34,1691911668822018.0
35,6992269.0
36,1718358.0
37,1757052904711169.0
38,1694797801980930.0
39,1690659763144705.0
40,1773821208648705.0
41,1527988.0
42,1730409705792513.0
43,1746897955103761.0
44,7579980.0
45,5338213.0
46,9627209.0
47,6307635.0
48,2097663.0
49,1714699813677058.0
50,8920962.0
51,1695612806451201.0
52,1733128229522434.0
53,6677133.0
54,1686669022776321.0
55,1649165526729733.0
56,2097663.0
57,8585325.0
58,1732438000449538.0
59,1735138527102977.0
60,1771651756368914.0
61,7767295.0
62,1729833018645505.0
63,1741913057608722.0
64,1740028774112258.0
65,8239853.0
66,9677967.0
67,2927720.0
68,1762949452156946.0
69,1737385941465090.0
70,6192927.0
71,7232525.0
72,1878712.0
73,7389679.0
74,1764775761397761.0
75,1758321725872145.0
76,2229067.0
77,8250939.0
78,7389679.0
79,7767295.0
80,1695030662446081.0
81,6236835.0
82,1694647715227650.0
83,1684394145691650.0
84,9558788.0
85,1736488213441537.0
86,9630899.0
87,9879733.0
88,2713299.0
89,1721013871652866.0
90,6033896.0
91,1732422617628673.0
92,1747021185229826.0
93,1724470454753282.0
94,9732175.0
95,1700717203544066.0
96,1753333041068065.0
97,6283878.0
98,1745028869745697.0
99,6052909.0
100,1694644355452929.0
101,1729270880862209.0
102,1765400800943137.0
103,1695027942470657.0
104,1749693025818658.0
105,1863322.0
106,2963527.0
107,1752791904934914.0
108,1755154458300433.0
109,1680306084527105.0
110,9075895.0
111,1731144009953282.0
112,5869200.0
113,1695538963129346.0
114,1750192107946001.0
115,2933698.0
116,1710303056363522.0
117,1691845936062466.0
118,1691852985713666.0
119,1772483946030082.0
120,5338213.0
121,1703429274086465.0
122,1561930.0
123,1707001515026434.0
124,1727251400013825.0
125,1711506485296130.0
126,1728803985053697.0
127,1695027942470657.0
128,1721716519456770.0
129,1732422617628673.0
130,1754488952438785.0
131,1708990849970178.0
132,1728888969578497.0
133,2776508.0
134,5073882.0
135,5518672.0
136,1730409705792513.0
137,1753012934144049.0
138,6738735.0
139,2963527.0
140,7767295.0
141,1736770021242882.0
142,1729988924221442.0
143,1698909271368705.0
144,1724426811354114.0
145,1736487442745345.0
146,1724470454753282.0
147,1772483949089793.0
148,1704427801485313.0
149,1774283521390594.0
150,1635870.0
151,9659971.0
152,1694560071360513.0
153,1710303142350850.0
154,1760348202966018.0
155,8035393.0
156,1731144009953282.0
157,1717301867452418.0
158,2729373.0
159,7767295.0
160,1743215722225665.0
161,2502751.0
162,1742577894443009.0
163,1694617222918145.0
164,7851571.0
165,2138727.0
166,1671850728988677.0
167,8831199.0
168,1695038938773505.0
169,8320536.0
170,1912879.0
171,1705233310094338.0
172,2363865.0
173,1743522632016930.0
174,1752791904934914.0
175,3639978.0
176,1724470463815682.0
177,1714611028454401.0
178,1706437607186434.0
179,1752275425169409.0
180,1697813860514817.0
181,1691845936062466.0
182,5181181.0
183,2729373.0
184,1754509725670401.0
185,1695529068585986.0
186,1527988.0
187,1772379228620801.0
188,1755541489127426.0
189,1698794983674882.0
190,9256168.0
191,1754268607211537.0
192,1738425578529794.0
193,6768191.0
194,1739401359705089.0
195,2963527.0
196,1689841489642498.0
197,1735501614322689.0
198,1693637244412929.0
199,2237078.0
200,1695769015370753.0
201,8959015.0
202,1764043372560418.0
203,1301929.0
204,2729373.0
205,5377569.0
206,8328881.0
207,1705324000866306.0
208,6997655.0
209,1710346242337793.0
210,1714584045969410.0
211,5819951.0
212,1669724932562950.0
213,1684284296197122.0
214,1741913158257666.0
215,1729882976480257.0
216,1695577889971202.0
217,6992269.0
218,2097663.0
219,1764223632918545.0
220,1672986653202437.0
221,1688580837563393.0
222,1740298905711617.0
223,1736488213441537.0
224,1690832211660801.0
225,1695527526423554.0
226,5709106.0
227,1767219614304257.0
228,1912879.0
229,7579980.0
230,9162935.0
231,1742577881965569.0
232,9630899.0
233,5093589.0
234,1263657.0
235,1721099016810497.0
236,5602973.0
237,1721013871652866.0
238,1752092805324881.0
239,1724426811354114.0
240,1710346282427393.0
241,9915195.0
242,6085577.0
243,1769098122602498.0
244,1710303056363522.0
245,1704414376583169.0
246,6261963.0
247,1695527526423554.0
248,5388029.0
249,1755920005992482.0
250,8003837.0
251,1295012.0
252,1686754849566721.0
253,1757699691554817.0
254,1694042067160066.0
255,1762949452156946.0
256,1722169427595266.0
257,1739401456230402.0
258,1694616462059521.0
259,9317729.0
260,5222102.0
261,1753333041068065.0
263,2803125.0
264,5819951.0
265,1726035034103809.0
266,1714410483801090.0
267,1765400800943137.0
268,1760219117725713.0
269,8777520.0
270,2972398.0
271,1710303068652546.0
272,2289168.0
273,1912879.0
274,1301929.0
275,8920962.0
276,3581159.0
277,1695027942470657.0
278,9915195.0
279,1769098122602498.0
280,1773654622274561.0
281,7767295.0
282,1695079848044545.0
283,6236835.0
284,1763709640109090.0
285,2779680.0
286,8905332.0
287,1749551102733314.0
289,3139893.0
290,1730409705792513.0
291,8959882.0
292,9660890.0
293,1771833218364418.0
294,9677967.0
295,1772371860026402.0
296,1759961674413106.0
297,1700712799127554.0
298,1766126778793985.0
299,1735589382242306.0
300,5099162.0
301,1878712.0
302,2713299.0
303,1741279730538497.0
304,6775555.0
305,1741849955502082.0
306,1736488544904194.0
307,2855138.0
308,1729988924221442.0
309,1193822.0
310,1762949452156946.0
311,6992269.0
312,1725363675133953.0
313,1723453161441282.0
314,3581159.0
315,2927720.0
316,9657251.0
317,1746579210216466.0
318,1772483949089793.0
319,1714345843065857.0
320,1728803946082306.0
321,1714345843065857.0
322,6992269.0
323,5618519.0
324,1694974042699778.0
325,1099005.0
326,1714878888865794.0
327,1774283521390594.0
328,1672105296352262.0
329,1708585136236546.0
330,1746474759433249.0
331,1711506485296130.0
332,1772483946030082.0
333,1738944644500481.0
334,1773654622274577.0
335,6261963.0
336,1736353481347074.0
337,1915657.0
338,1693810919455746.0
339,1295012.0
340,2008658.0
341,1700618236673025.0
342,1710303056363522.0
343,7767295.0
344,1705052601354242.0
345,1173832.0
346,1686754849566721.0
347,1769302206223410.0
348,1749693025818658.0
349,1735529545413634.0
350,9537123.0
351,5506285.0
352,6217365.0
353,1077236.0
354,1729271917188098.0
355,1672108412836869.0
356,3823019.0
357,1700712799127554.0
358,6738735.0
359,1773554981556242.0
360,1672986746847238.0
361,1763709643174962.0
362,2980780.0
363,7736076.0
364,8970380.0
365,1752174599238690.0
366,7697006.0
367,1769227294348322.0
368,1690120188411906.0
369,2655178.0
370,1686665037198402.0
371,1736488544904194.0
372,1691852985713666.0
373,1774283521390594.0
374,1771651753127953.0
375,5090932.0
376,8895709.0
377,1863322.0
378,1737385941465090.0
379,1748303624947714.0
380,8920962.0
381,3383592.0
382,1741849955502082.0
383,1672105296352262.0
384,1739404231546882.0
385,1733128229522434.0
386,1958955.0
387,1696368514880514.0
388,1719108856889346.0
389,1769748362234898.0
390,1852276.0
391,1695027604731906.0
392,7989612.0
393,1691852985713666.0
394,1691852985713666.0
395,1726740282128385.0
396,1771766145225762.0
397,1736956048423938.0
398,1672026730048518.0
399,1672026730048518.0
400,1749693025818658.0
401,1757803456500738.0
402,1749551020194849.0
403,1686761582885889.0
404,1686669704112129.0
405,1764223632918545.0
406,1695095671197697.0
407,7677885.0
408,1773654622274577.0
409,1695648893714433.0
410,5827188.0
412,3139893.0
413,1746474353707041.0
414,1755170505776146.0
415,1769227294348322.0
416,1709538693282817.0
